"時間,担当,準備・動き,進行内容"
"13:45,司会,壇上照明OFF / チラシ配布終了 / 受付状況確認 / 懇親会人数確認,まもなく開会10分前です。携帯電話は音が出ないようにお願いします。チラシ配布されている方は55分までに終了してお席にお戻りください。お車でお越しの方は入り口の守衛さんのところで駐車券に印鑑を押してもらってください。また受付横にある水を、お1人1本お取りください。懇親会に参加される方は、受付で事前に手続きをお願いいたします。またリストバンドの着用も必ずお願いいたします。本日の懇親会は定員数に達したため受付は終了しました。リストバンドが無い方は参加ができませんのでご了承ください。※本日ゲストの方で懇親会に参加希望の方は世話人にお声かけください。"
"13:50,司会,体操指導者へ合図,それでは今から例会前の体操をしますのでみなさまご参加ください。本日の指導者は「整体ここからの石川一久（いしかわかずひさ）」さんです。お願いします。★様子をみながら13:53くらいに合図して終了"
"13:55,司会,着席の様子を確認,開会5分前です。チラシの配布を終了してください。"
"13:59,司会,着席・名札位置確認,開会1分前です。みなさま、携帯電話をご確認頂き音が出ない様にお願いします。また、名札の位置のご確認をお願いいたします。"
"14:00,司会,壇上照明OFF,1) オープニング動画。それでは皆様スクリーンに注目をお願いします。"
"14:03,司会,壇上照明ON,2) ただいまより第56回守成クラブ那覇会場仕事バンバンプラザ那覇を開会いたします。本日の司会進行は {mcs} です。不慣れな点もございますが、最後まで頑張って努めますので、よろしくお願い致します。"
"14:05,司会,サポート読み上げなし / 壇上照明ON,3) 本日のタイムキーパーは {tk} さんです。本日のテーブルマスターは {tms} です。ご起立ください。＜全員起立確認＞ 本日のウェルカムドリンクは綿谷誠吾さんのBENIです。お菓子は知花尚海さんの「はちみつあめ」です。ご自由にお召し上がりください。"
"14:05,司会,次第に沿って進行,開会宣言 宝の山。それでははじめに、開会宣言の意味を込めまして、小冊子「守成クラブを宝の山にするために」を、Sea Whisperの西川結音子さんに朗読をして頂きます。本日は07番になります。朗読後、内容に沿った感想を30秒～1分話してもらいます。"
"14:08,代表,代表挨拶へ,4) 守成クラブ那覇会場、代表より挨拶を致します。株式会社Office IJU {rep} さん、ご挨拶をお願い致します。"
"14:12,司会,アナウンス,5) 広報かわら版。続きまして世話人より「広報かわら版」のお知らせです。伊敷ゆきさんお願いします。"
"14:15,司会,センターマイク使用,6) 本日お越しの {len_guests} 名のゲストのご紹介をいたします。お名前が呼ばれた方はその場でご起立ください。会場の皆様は、最後にまとめて盛大な拍手をお願いいたします。"
"[GUESTS],,,ゲスト紹介（名簿から自動挿入）"
"14:16,外間,センターマイク使用,7) 事務局からのお知らせ。事務局の外間さんお願いします。★会員情報【一般会員ログインの案内】。★4月の5周年例会時に数量限定で販売する【那覇会場商品券】について。"
"14:19,司会,開催案内見せる,8) 他会場紹介。本日は県内外の10会場（いばらき南、品川、池袋、ひるの銀座、横浜みなとみらい、堺、沖縄、ヒルノ沖縄、沖縄北部、沖縄中部）からのご参加ありがとうございます。所属会場名が呼ばれましたら、その場でご起立をお願い致します。"
"14:22,司会,センターマイク使用,10) 授与式に入ります。緑バッチ、赤バッチ、がんばれ楯、鬼瓦、ゴールドバッチの授与を行います。全国連絡協議会 常務理事 義元大蔵さんより授与頂きます。"
"14:27,司会,タイマー表示,TM説明。それではここで、テーブルマスターからマッチングポップの記入の仕方と名札の位置・車座の流れを説明してください。"
"14:29,司会,車座カウントダウン動画 / 壇上照明OFF,11) 1回目車座商談会準備。皆様にお配りしている参加者名簿は「五十音順」になっています。テーブル内での名刺やパンフレット配布をお願いします。準備が終わったTMは番号札を倒してください。"
